"year","ST_PC1","ST_PC2","AT_PC1","AT_PC2","WS_PC1","WS_PC2","sample","calcite_thickness_mm","aragonite_thickness_mm","storage_condition","shell_height","aperture_width","aperture_height","country","location","PC1","PC2","PC3","PC4","PC5","aperture_ellipses"
1911,-1.62185290740737,0.0478009141564143,-0.503769308078392,-0.20041003666628,-0.0448455285388268,0.76075359010984,"3_5",1.13691813333333,0.218527933333333,"ethanol",29.13,12.01,17.16,"Netherland","ZWA",0.00092120218728386,0.00097335052571115,6.34234557148945e-05,-0.00015908488085768,0.0001691519458317,161.863964131642
1911,-1.62185290740737,0.0478009141564143,-0.503769308078392,-0.20041003666628,-0.0448455285388268,0.76075359010984,"3_6",1.88177466666667,0.0319764,"ethanol",33.18,12.87,17.78,"Netherland","ZWA",0.00108424662348905,0.00051008319876373,-0.00049304111765423,0.00012206199747806,0.00037538272915377,179.721562172809
1911,-1.62185290740737,0.0478009141564143,-0.503769308078392,-0.20041003666628,-0.0448455285388268,0.76075359010984,"3_7",0.647376933333333,0.136199766666667,"ethanol",31.36,12.68,18.21,"Netherland","ZWA",0.0009303152515983,0.00121861454502646,-0.0005675197712537,-0.00026823809357704,-0.00012048620462957,181.350635043328
1911,-1.62185290740737,0.0478009141564143,-0.503769308078392,-0.20041003666628,-0.0448455285388268,0.76075359010984,"3_8",1.26785916666667,0.0824545,"ethanol",31.22,11.65,16.93,"Netherland","ZWA",-0.00058321411712507,-0.00024468910238505,-0.00060924869361743,-0.00044092104863641,-3.79121226299342e-05,154.907614058614
1911,-1.62185290740737,0.0478009141564143,-0.503769308078392,-0.20041003666628,-0.0448455285388268,0.76075359010984,"3_9",1.17874806666667,0.1623984,"ethanol",32.84,12.72,17.06,"Netherland","ZWA",0.00065729592067794,0.00049326408592299,-9.33000632437316e-05,-5.19289043048087e-05,0.00022374461325725,170.433914731369
1911,-1.62185290740737,0.0478009141564143,-0.503769308078392,-0.20041003666628,-0.0448455285388268,0.76075359010984,"4_1",0.457136166666667,0.156062333333333,"ethanol",27.78,11.13,16.92,"Belgium","ZEE",0.00183884539503141,0.00128620163123972,-0.00079873077684969,0.00012028447593652,0.00021066274841639,147.905867971742
1911,-1.62185290740737,0.0478009141564143,-0.503769308078392,-0.20041003666628,-0.0448455285388268,0.76075359010984,"4_2",0.537406166666667,0.148700766666667,"ethanol",32.46,13,16.29,"Belgium","ZEE",0.00203102714846782,-0.00051463922673002,-7.71799021551904e-05,-0.00012125337989549,-0.00023644480609494,166.323769062678
1928,-1.24268403333181,0.908359837774276,-0.113092053668667,-0.778500972892887,-2.82605321231864,0.789667242414649,"7_1",0.556645266666667,0.1874344,"dry",25.59,9.19,15.4,"Belgium","KNO",0.00076558187304581,0.00024917796525285,-0.00028178409740528,-0.00020012565375491,-0.00028066995406412,111.154260472987
1928,-1.24268403333181,0.908359837774276,-0.113092053668667,-0.778500972892887,-2.82605321231864,0.789667242414649,"7_2",1.0310233,0.0514310666666667,"dry",25.56,9.99,15.02,"Belgium","KNO",0.00055727201485077,-0.00074589680174437,0.00062857102120692,0.00049640673018807,0.00028922750077349,117.848837338154
1928,-1.24268403333181,0.908359837774276,-0.113092053668667,-0.778500972892887,-2.82605321231864,0.789667242414649,"7_3",0.600126933333333,0.1522811,"dry",29.67,12.99,18.05,"Belgium","KNO",0.00335986101996198,0.00071031062883346,0.0005362781323527,-0.00059514056312476,0.00071129911264475,184.151914672718
1928,-1.24268403333181,0.908359837774276,-0.113092053668667,-0.778500972892887,-2.82605321231864,0.789667242414649,"7_4",0.456090666666667,0.249620766666667,"dry",26.73,11.42,14.52,"Belgium","KNO",-0.00038781825384265,-0.00038170806314318,-0.00069282652851527,-0.00034586052013927,-0.00013797485853281,130.233466817503
1928,-1.24268403333181,0.908359837774276,-0.113092053668667,-0.778500972892887,-2.82605321231864,0.789667242414649,"7_5",0.575400433333333,0.140152466666667,"dry",28.42,11.56,16.38,"Belgium","KNO",0.00158737167343831,0.0001488093530206,0.00041746519334565,-0.00021411915225861,-0.00035596966114743,148.717341354164
1929,-2.31591512819413,1.28270186526964,-1.12918905577428,-1.25562856563157,-3.25103802754173,0.321072286440461,"8_1",1.010515,0.102118933333333,"ethanol",27.8,10.89,14.36,"Belgium","ZEE",0.00419346712507532,0.00012036280557361,0.0002562781457282,-0.00068122752937069,0.00046017016113304,122.820878951358
1929,-2.31591512819413,1.28270186526964,-1.12918905577428,-1.25562856563157,-3.25103802754173,0.321072286440461,"8_2",0.544782066666667,0.0875248,"ethanol",32.43,12.03,17.63,"Belgium","ZEE",-0.00027852824513999,-0.00034708037319181,4.29532765373804e-06,-0.00040399339415003,-0.00036027691411756,166.574232536985
1929,-2.31591512819413,1.28270186526964,-1.12918905577428,-1.25562856563157,-3.25103802754173,0.321072286440461,"8_3",1.00820056666667,0.0552862333333333,"ethanol",31.18,10.67,16.8,"Belgium","ZEE",0.00256705022127527,-0.00079491365334212,-0.00018173981573203,0.00015722250499667,0.000175965183795,140.787333177973
