"sample","calcite_thickness_mm","aragonite_thickness_mm","storage_condition","shell_height","aperture_width","aperture_height","country","location","year","PC1","PC2","PC3","PC4","PC5","aperture_ellipses"
"12_9",0.6114006,0.099198,"ethanol",27.45,10.95,15.63,"Belgium","DUI",1936,0.0227372829712603,0.00903455950023982,-0.0031581693986894,-0.00416758681744007,-0.00627616551260987,134.419717568228
"14_1",NA,NA,"ethanol",26.33,11.39,15.85,"Belgium","BLA",1937,0.00220167497159265,0.0195521981283521,0.0120366838349189,-0.0106157894228461,0.00332606125121293,141.789108535386
"14_10",NA,NA,"ethanol",28.87,12.47,16.87,"Belgium","BLA",1937,-0.0209717672328578,0.0218742887269857,0.0031947342280265,0.00167954194747614,-0.00709914387214518,165.223347695941
"14_2",NA,NA,"ethanol",27.01,10.95,16.12,"Belgium","BLA",1937,0.012342179344732,-0.0094850049517766,-0.00633936587387098,0.0125757705183102,-0.00837962064591121,138.633771413937
"14_3",NA,NA,"ethanol",27.16,10.15,16.6,"Belgium","BLA",1937,0.0223308858186637,0.010980727683916,-0.0111551282584411,-0.0152247826401443,0.00104324340138682,132.331736550836
"14_4",NA,NA,"ethanol",26.87,11.69,14.93,"Belgium","BLA",1937,0.0204242619371614,-0.0137131547728234,0.0148830938845101,0.00421578431049204,-0.0111278383724932,137.076876634634
"14_5",NA,NA,"ethanol",27.71,11.08,15.22,"Belgium","BLA",1937,0.0210803168608692,0.00059404126864278,-0.00092062908239036,-0.0126954799612491,0.00410096172758492,132.447661319754
"14_6",NA,NA,"ethanol",28.54,11.14,16.09,"Belgium","BLA",1937,0.02007223312811,-0.0221822511211433,-0.0120013748956094,-0.00371084430310584,-0.0084530785731888,140.776808842583
"14_7",NA,NA,"ethanol",26.8,11,15.03,"Belgium","BLA",1937,0.00070354874654325,-0.00042081753581307,-0.009164436376602,-0.009296820755122,-0.00696073728153723,129.8498783545
"14_8",NA,NA,"ethanol",25.9,9.82,15.09,"Belgium","BLA",1937,-0.00074489100755896,0.048490931842646,-0.0315710304105711,0.0132335603403749,-0.0190502005620396,116.383284365255
"14_9",NA,NA,"ethanol",25.87,9.62,15.59,"Belgium","BLA",1937,-0.0267305535146598,0.0045020819436154,0.00776761530715671,-0.0012245582445084,0.0028009631730338,117.790717874063
"16_1",0.575162333333333,0.204031366666667,"ethanol",26.78,12.15,15.47,"Belgium","ZEE",1938,-0.0378053556196333,-0.0279875146997727,-0.00697687387662031,-0.0196938266520511,-0.0212190906190396,147.623831491266
"16_10",0.78258347826087,0.246744173913043,"ethanol",28.55,12.09,16.62,"Belgium","ZEE",1938,-0.00407699788430151,0.00756736029568782,0.0257413178673336,-0.00126150450681114,-0.00083379177697863,157.814608280797
"16_2",0.4425998,0.1965547,"ethanol",26.12,10.35,15.17,"Belgium","ZEE",1938,-0.0221781294117034,0.0293115207054732,0.0103116237285446,0.0216354026431216,0.00673112723431921,123.314972935952
"16_3",0.678274,0.260591814814815,"ethanol",28.71,11.91,17.2,"Belgium","ZEE",1938,-0.00732169038832927,-0.00671407896793664,0.0151732180777733,-0.00298483987998854,-0.00030787130627358,160.890384568294
"16_4",0.761121916666667,0.214051,"ethanol",28.96,12.44,16.51,"Belgium","ZEE",1938,-0.0332442805941872,-0.0150910728995896,0.00725278602828918,0.0207670057478161,-0.00299223679822946,161.308530550487
"16_5",0.648549866666667,0.144706133333333,"ethanol",27.41,12.52,16.64,"Belgium","ZEE",1938,-0.077472055957148,-0.00875436446130073,-0.00553784618313231,-0.0158355509328916,0.00368339452153048,163.624198495448
"16_6",0.604624233333333,0.168383933333333,"ethanol",28.42,10.93,16.47,"Belgium","ZEE",1938,0.0220783992717337,-0.0230696819489729,0.00759476775984963,0.00030746920185155,0.00222642587800873,141.385099720135
"16_7",1.01038839130435,0.125060130434783,"ethanol",27.61,12.45,17.46,"Belgium","ZEE",1938,-0.0414370627897191,0.0212306398799711,-0.00224881141707329,0.00987180099688897,0.00698603778061439,170.727496564847
