"year","days","numO","calc_threshold"
1887,84,106,14
1888,74,144,14
1889,105,230,14
1890,89,237,14
1891,101,229,14
1892,94,126,14
1894,74,276,14
1895,66,202,14
1903,93,922,14
1904,102,2249,14
1905,102,2684,14
1906,108,3034,14
1907,97,3537,14
1908,107,3680,14
1909,90,4357,14
1910,104,4854,14
1911,111,6860,14
1912,91,6902,14
1913,122,6979,14
1914,110,4117,14
1915,115,2191,14
1916,103,3376,14
1917,90,2950,14
1918,81,4014,14
1919,82,4259,14
1920,124,2526,14
1921,138,2595,14
1922,106,3083,14
1923,93,3343,14
1924,112,3384,14
1925,121,3217,14
1926,112,3198,14
1927,98,3351,14
1928,108,3471,14
1929,106,3315,14
1930,123,3189,14
1931,116,2961,14
1932,112,2686,14
1933,123,3141,14
1934,126,3229,14
1935,107,3564,14
1936,108,3818,14
1937,132,3634,14
1938,119,3499,14
1939,137,2182,14
1946,106,706,14
1947,132,486,14
1948,108,390,14
1949,127,406,14
1950,100,477,14
1951,99,629,14
1952,98,873,14
1953,116,624,14
1954,92,910,14
1955,89,905,14
1956,71,774,14
1957,103,734,14
1958,104,754,14
1959,132,647,14
1960,113,810,14
1961,124,2190,14
1962,77,1727,14
1963,84,1398,14
1964,107,1678,14
1965,92,1980,14
1966,114,2306,14
1967,112,2681,14
1968,115,3012,14
1969,127,2937,14
1970,109,1941,14
1971,113,3044,14
1972,96,3805,14
1973,117,3783,14
1974,102,2725,14
1975,109,1742,14
1976,126,2125,14
1977,108,3455,14
1978,96,3057,14
1979,108,4226,14
1980,97,6358,14
1981,93,5978,14
1982,116,5444,14
1983,109,3723,14
1984,78,3604,14
1985,90,4399,14
1986,97,3892,14
1987,95,3321,14
1988,106,4088,14
1989,122,8260,14
1990,111,5819,14
1991,101,5078,14
1992,121,9479,14
1993,106,9833,14
1994,106,6430,14
1995,119,9165,14
1996,97,7343,14
1997,111,5289,14
1998,124,5232,14
1999,117,4696,14
2000,110,4183,14
2001,124,3666,14
2002,130,4555,14
2003,128,4278,14
2004,121,3937,14
2005,131,4013,14
2006,139,3460,14
2007,137,2916,14
2008,136,1939,14
2009,145,2745,14
2010,113,2516,14
2011,149,2223,14
2012,117,2974,14
2013,110,2686,14
2014,164,2247,14
2015,115,1988,14
2016,169,1748,14
2017,157,1955,14
2018,150,2185,14
2019,149,4692,14
1882,80,107,15
1884,87,101,15
1885,65,105,15
1887,59,106,15
1888,30,144,15
1889,78,230,15
1890,65,237,15
1891,57,229,15
1892,71,126,15
1894,59,276,15
1895,57,202,15
1903,60,922,15
1904,80,2249,15
1905,84,2684,15
1906,84,3034,15
1907,57,3537,15
1908,74,3680,15
1909,52,4357,15
1910,69,4854,15
1911,90,6860,15
1912,66,6902,15
1913,83,6979,15
1914,91,4117,15
1915,97,2191,15
1916,78,3376,15
1917,69,2950,15
1918,54,4014,15
1919,52,4259,15
1920,100,2526,15
1921,115,2595,15
1922,69,3083,15
1923,74,3343,15
1924,88,3384,15
1925,95,3217,15
1926,97,3198,15
1927,77,3351,15
1928,89,3471,15
1929,86,3315,15
1930,101,3189,15
1931,88,2961,15
1932,95,2686,15
1933,104,3141,15
1934,107,3229,15
1935,93,3564,15
1936,88,3818,15
1937,104,3634,15
1938,98,3499,15
1939,125,2182,15
1946,82,706,15
1947,113,486,15
1948,73,390,15
1949,110,406,15
1950,85,477,15
1951,71,629,15
1952,81,873,15
1953,92,624,15
1954,55,910,15
1955,68,905,15
1956,32,774,15
1957,69,734,15
1958,73,754,15
1959,110,647,15
1960,81,810,15
1961,92,2190,15
1962,37,1727,15
1963,55,1398,15
1964,82,1678,15
1965,56,1980,15
1966,82,2306,15
1967,90,2681,15
1968,86,3012,15
1969,104,2937,15
1970,79,1941,15
1971,86,3044,15
1972,68,3805,15
1973,95,3783,15
1974,76,2725,15
1975,87,1742,15
1976,105,2125,15
1977,77,3455,15
1978,59,3057,15
1979,74,4226,15
1980,74,6358,15
1981,69,5978,15
1982,90,5444,15
1983,84,3723,15
1984,56,3604,15
1985,63,4399,15
1986,65,3892,15
1987,66,3321,15
1988,76,4088,15
1989,98,8260,15
1990,82,5819,15
1991,83,5078,15
1992,102,9479,15
1993,76,9833,15
1994,82,6430,15
1995,98,9165,15
1996,68,7343,15
1997,87,5289,15
1998,97,5232,15
1999,94,4696,15
2000,83,4183,15
2001,99,3666,15
2002,107,4555,15
2003,109,4278,15
2004,97,3937,15
2005,104,4013,15
2006,121,3460,15
2007,113,2916,15
2008,113,1939,15
2009,122,2745,15
2010,90,2516,15
2011,117,2223,15
2012,91,2974,15
2013,85,2686,15
2014,136,2247,15
2015,90,1988,15
2016,153,1748,15
2017,137,1955,15
2018,126,2185,15
2019,127,4692,15
