"wind_speed","year","month"
6.13,1921,11
7.91,1921,12
8.38,1922,1
5.5,1922,2
5.68,1922,3
5.06,1922,4
2.91,1922,5
4.8,1922,6
5.36,1922,7
4.9,1922,8
6.24,1922,9
5.52,1922,10
6.33,1922,11
7.79,1922,12
6.34,1923,1
6.27,1923,2
4.21,1923,3
5.73,1923,4
5.69,1923,5
5.38,1923,6
4.15,1923,7
6.08,1923,8
5.64,1923,9
7.51,1923,10
7.1,1923,11
6.85,1923,12
5.31,1924,1
6.07,1924,2
4.54,1924,3
4.39,1924,4
3.54,1924,5
3.78,1924,6
5.07,1924,7
5.93,1924,8
6.47,1924,9
6.54,1924,10
5.7,1924,11
6.28,1924,12
6.16,1925,1
9.09,1925,2
6.92,1925,3
4.15,1925,4
4.72,1925,5
4.42,1925,6
4.24,1925,7
3.51,1925,8
7.68,1925,9
5.93,1925,10
7.11,1925,11
6.81,1925,12
5.62,1926,1
4.34,1926,2
6.43,1926,3
3.7,1926,4
5.87,1926,5
3.84,1926,6
3.94,1926,7
4.4,1926,8
3.65,1926,9
7.35,1926,10
6.43,1926,11
7.61,1926,12
6.08,1927,1
4.3,1927,2
4.89,1927,3
5.97,1927,4
4.68,1927,5
5.07,1927,6
4.06,1927,7
5.19,1927,8
6.89,1927,9
5.29,1927,10
5.86,1927,11
5.87,1927,12
7.12,1928,1
6.43,1928,2
4.09,1928,3
5.04,1928,4
3.92,1928,5
5.06,1928,6
3.05,1928,7
5.27,1928,8
3.47,1928,9
6.18,1928,10
9.23,1928,11
5.92,1928,12
4.6,1929,1
4.67,1929,2
2.16,1929,3
4.54,1929,4
3.68,1929,5
3.9,1929,6
3.86,1929,7
3.46,1929,8
3.97,1929,9
7.59,1929,10
6.62,1929,11
9.8,1929,12
7,1930,1
5.28,1930,2
4.5,1930,3
4.44,1930,4
3.19,1930,5
3.25,1930,6
4.48,1930,7
5.4,1930,8
5.16,1930,9
6.3,1930,10
7.59,1930,11
3.97,1930,12
6.57,1931,1
6.26,1931,2
5.13,1931,3
3.75,1931,4
3.2,1931,5
3.45,1931,6
6.19,1931,7
